All Product Type By Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holding Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Market Value:,XX,Accrued Interest*:,XX,Total Cost:,XX,Total Unrealized Gain/Loss($):,XX,Total Unrealized Gain/Loss(%):,XX,Est. Annual Income:,XX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product Type,Name,Open Order,Symbol,CUSIP,Last,As of,Quantity,Market Value $,Today's Change %,Today's Change $,Total Cost $,Adjusted Cost $,Gain/Loss %,Gain/Loss $,Accrued Interest,Dividend per share ($),Current Yield,Maturity Date,% of Portfolio,Coupon Rate (%),Cumulative Cash Distributions ($),Est. Annual Income ($),Moody's Rating,Net Value Inc/Dec (%),Net Value Inc/Dec ($),Price Change (%),Price Change ($),Prior Close - Market Value ($),Prior Close -Last($),As Of,S&P Rating,Purchases ($)
Stocks / Options,APPLE CORP,No,AAPL,NA,169,12/29/17,100,16900,_,_,,,1,1,_,_,0,_,17.91221953,_,_,N/A,_,_,_,_,_,0,0,12/29/17,N/R,_
Stocks / Options,INTERNATIONAL BUSINESS MACHINES,No,IBM,NA,150,12/29/17,50,"7,500.00",_,_,,,1,1,_,0,0,_,7.949209849,_,_,0,_,_,_,_,_,0.00,0,12/29/17,X,_
Stocks / Options,MONDELEZ,No,MDLZ,NA,42,12/29/17,75,"3,150.00",_,_,,,1,1,_,0,0,_,3.338668136,_,_,0,_,_,_,_,_,0.00,0,12/29/17,X,_
ETFs / CEFs,VANGUARD SP500 FD,No,VOO,NA,240,12/29/17,100,"24,000.00",_,_,,,1,1,_,_,0,_,25.43747152,_,_,0,_,_,_,_,_,0.00,0,12/29/17,_,_
ETFs / CEFs,ISHARES CORE U.S. AGGREGATE,No,AGG,NA,109.33,12:00 AM,300,"32,799.00",0,0,,,1,1,_,_,0,_,34.76348451,_,_,0,_,_,_,0,_,0.00,0,12/29/17,_,_
"Cash, MMF and BDP",BANK DEPOSIT (CASH),No,BDPS,NA,_,_,_,"10,000.00",_,_,_,_,_,_,1,_,_,_,10.59894646,_,_,_,_,_,_,_,_,0.00,_,_,_,_
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total :,,,,,,,,XX,-,_,XX,XX,0,0.00,XX,,,,,,_,XX,,_,_,,,0.00,,,,_
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Please note, accrued interest is based on prior day valuation and is not a real time calculation. Accrued interest may be overstated on the Payable Date of a security, since the interest paid will also be reflected as a Change ($) in ""Cash"" for that day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
